"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
974,"Jake Webster4",110.0,0,"","AU",1992,2.0,1,1,0,0,9,4,1,15,0,6.0,1343740
975,"Cemil Yagizoglu",110.0,0,"","TR",3152,3.0,1,1,0,0,2,2,1,15,0,4.0,443304
976,"Giuseppe Principe",110.0,0,"","IT",1958,5.0,1,2,0,0,7,4,1,30,0,7.0,989624
977,"Keith Dalton",110.0,0,"","GB",2863,5.0,1,2,0,0,9,2,1,30,0,7.0,546790
978,"Thiago Amari2",110.0,0,"","AR",1453,5.0,1,3,0,0,17,9,2,32,0,9.0,1304953
979,"Victor Parita",110.0,0,"","ES",2229,7.0,1,2,0,0,9,3,1,18,0,9.0,392110
980,"Lauty Curi",109.8888893,0,"","AR",1155,6.0,20,37,31,3,209,11,2,470,1,9.0,1390101
981,"Jordi Cobo Gutierrez",109.6666679,0,"","ES",1154,6.0,15,28,52,5,203,11,2,157,13,3.0,1393306
982,"Andrew Mordon3",109.5999985,0,"","NZ",1525,5.0,12,21,3,1,143,11,2,276,0,7.0,1396394
983,"George Ward4",109.5,0,"","ENG",1419,5.0,7,8,0,0,49,11,2,79,0,5.0,1387995
984,"Dallas Patterson",109.3333321,0,"","US",1445,5.0,7,12,8,1,91,11,2,99,2,5.0,237801
985,"Jeffrey James3",109.25,0,"","AU",1399,6.0,9,17,0,0,71,9,2,227,0,11.0,532366
986,"Cody Henderson6",109.1666679,0,"","AU",1068,6.0,9,16,1,1,85,11,2,161,0,10.0,1210022
987,"Joshua Zendler",109.0,0,"","US",1940,6.0,13,26,63,5,168,8,2,349,6,4.0,888413
988,"Christopher Merkel",109.0,0,"","DE",2001,4.0,5,6,31,2,28,5,1,90,3,4.0,1367819
989,"Людмила Оксамитна",109.0,0,"","UA",1110,3.0,3,4,20,2,28,11,2,45,2,2.0,1332500
